"OptionID","VendorID","Type","Name","Allergens","IncrementalPrice","ChoiceType"
"4561","4000195","","Italian & Balsamic Vinaigrette","","0","850"
"4562","4000195","","Blue Cheese","","0","850"
"4563","4000195","","1000 Island","","0","850"
"4564","4000195","","Honey Mustard","","0","850"
"4565","4000195","","Ranch","","0","850"
"4566","4000195","","French Fries","","0","851"
"4567","4000195","","Mixed Greens (Carrots, Cranberries, Sunflower Seeds)","","0","851"
"4568","4000195","","Caesar Salad","","0","851"
"4569","4000195","","Superfood Slaw (Broccoli, Brussel Sprouts, Kale, Carrots, Cranberries, Poppyseed Dressing)","","0","851"
"4570","4000195","","Pasta Salad (Tomatoes, Red Onions, Black Olives)","","0","851"
"4571","4000195","","Potato Salad","","0","851"
"4572","4000195","","Seasonal Fruit Salad","","0","851"
"4573","4000195","","Mac 'n Cheese","1","0","851"
"4574","4000195","","Assorted Cookies","","0","851"
"4575","4000190","8","Chicken","","0","1"
"4576","4000190","9","Pork","","0","1"
"4577","4000190","","Tofu","6","0","1"
"4578","4000190","","White Rice","","0","852"
"4579","4000190","","Brown Rice","","0","852"
"4580","4000190","","Mild","","0","853"
"4581","4000190","4","Medium","","0","853"
"4582","4000190","4","Hot","","0","853"
"4583","4000190","4","Thai Hot","","0","853"
"4584","4000190","11","Beef","","1","1"
"4585","4000190","13","Prawns","5","1","1"
"4586","4000190","13","Calamari","5","1","1"
"4587","4000190","8","Chicken","","0","854"
"4588","4000190","","Beef","","1","854"
"4589","4000190","9","Pork","","0","854"
"4590","4000190","8","Chicken","","0","852"
"4591","4000190","11","Beef","","1","852"
"4592","4000190","9","Pork","","0","852"
"4593","4000196","11","Asada (beef)","","0","855"
"4594","4000196","9","Pastor (Marinated Pork)","","0","855"
"4595","4000196","8","Pollo asado (chicken)","","0","855"
"4596","4000196","11","Lengua (beef tongue)","","0","855"
"4597","4000196","11","Cabeza (beef cheeks)","","0","855"
"4598","4000196","9","Carnitas (tender pork)","","0","855"
"4599","4000196","11","Barbacoa (tender beef)","","0","855"
"4600","4000196","9","Chorizo (spicy pork)","","0","855"
"4601","4000196","","No Meat","","0","855"
"4602","4000196","8","Chicken","","0","1"
"4603","4000196","11","Beef","","0","1"
"4604","4000196","","Cheese","1","0","1"
"4605","4000197","11","BBQ Beef Burger","","0","856"
"4606","4000197","8","BBQ Chicken Burger","","0","856"
"4607","4000197","8","Chicken Katsu Burger","","0","856"
"4608","4000197","11","Double Cheese Burger","","0","856"
"4609","4000197","11","Hamburger","","0","856"
"4610","4000197","13","Breaded Shrimp Burger","","0","856"
"4611","4000197","12","Fried Fish Burger","5","0","856"
"4612","4000197","","Mini","","0","857"
"4613","4000197","","Regular","","2.45000004768372","857"
"4614","4000197","8","BBQ Chicken","","0","1"
"4615","4000197","11","BBQ Beef","","0","1"
"4616","4000197","11","BBQ Rib","","0","1"
"4617","4000198","","White Rice","","0","858"
"4618","4000198","","Brown Rice","","0","858"
"4619","4000198","","Pinto","","0","859"
"4620","4000198","","Black","","0","859"
"4621","4000198","","Medium","","0","860"
"4622","4000198","","Hot","","0","860"
"4623","4000198","","Corn","","0","860"
"4624","4000198","","Monterrey Jack Cheese","","0","861"
"4625","4000198","","Lettuce","","0","861"
"4626","4000198","","Guacamole","","0.69999998807907","861"
